country,who.healthposts1k2_2013,who.hospitals1k2_2013
Afghanistan,2.95,0.37
Albania,13.08,1.36
Antigua and Barbuda,,1.11
Armenia,8,4.03
Azerbaijan,,7.97
Bahamas,39.75,1.06
Bangladesh,6.21,0.17
Barbados,3.86,1.05
Belarus,15.36,7.45
Belize,12.05,2.11
Benin,,0.41
Bhutan,25.47,1.72
Bolivia (Plurinational State of),13.79,1.07
Bosnia and Herzegovina,42.04,1.02
Botswana,,1.29
Brunei Darussalam,3.35,1.44
Burkina Faso,,0.31
Burundi,0,0.5
Cabo Verde,33.47,1
Cambodia,0.75,0.57
Cameroon,7.43,0.79
Canada,,2.27
Central African Republic,12.17,0.48
Chad,5.88,0.65
Chile,10.69,1.04
Comoros,7.08,0.68
Costa Rica,2.11,0.84
Ivory Coast,,1.71
Croatia,0.84,1.54
Cuba,7.53,2.04
Cyprus,,7.54
Czechia,224.84,1.29
Democratic People's Republic of Korea,25.16,6.86
Democratic Republic of the Congo,,0.45
Denmark,69.07,1.01
Dominica,84.72,5.56
Ecuador,2.91,0.33
Egypt,0.38,0.62
El Salvador,9.84,0.47
Eritrea,2.92,0.36
Estonia,37.68,1.94
Eswatini,12.97,0.8
Ethiopia,15.14,0.22
Fiji,,0
Finland,40.54,1.38
Gabon,29.43,3.53
Gambia,26.6,0.7
Georgia,13.8,2.21
Ghana,1.11,1.36
Grenada,34,0.94
Guatemala,3.54,0.34
Guinea,6.24,0.37
Guinea-Bissau,5.63,56.45
Guyana,25.64,3.38
Haiti,,0.24
Honduras,17.59,0.36
Hungary,5.8,1.02
Iceland,17.3,3.64
Indonesia,9.27,0.43
Iraq,6.9,0.95
Israel,,0.56
Italy,,2.08
Jamaica,,0.75
Jordan,19.25,1.94
Kazakhstan,22.41,3.52
Kenya,7.55,1.47
Kiribati,83.05,0
Kyrgyzstan,17.09,2.63
Lao People's Democratic Republic,,2.25
Latvia,,1.56
Lebanon,2.45,3.09
Liberia,9.32,0.37
Libya,29.25,2.64
Lithuania,21.01,2.15
Luxembourg,,1.13
Madagascar,12.96,0.47
Malawi,0.45,0.4
Malaysia,,0.47
Maldives,11.01,6.67
Mali,,0.46
Malta,2.1,0.93
Marshall Islands,1.9,3.8
Mauritania,11.65,1.03
Mauritius,8.84,0.96
Mexico,102.07,3.51
Micronesia (Federated States of),117.82,4.83
Monaco,,10.57
Mongolia,41.03,2.5
Montenegro,15.93,2.09
Myanmar,3.79,0.63
Namibia,12.76,1.91
Nauru,,9.95
Nepal,2.51,0.38
Netherlands,,0.76
Nicaragua,14.64,0.95
Niger,13.98,0.55
Oman,2.78,1.35
Pakistan,2.98,0.53
Panama,12.42,0.91
Papua New Guinea,35.51,1.57
Paraguay,9.66,2.43
Philippines,,1.81
Poland,,0.94
Portugal,3.08,
Republic of Korea,,3.42
Republic of Moldova,29.39,2.12
Romania,0.02,1.68
Saint Kitts and Nevis,0,7.38
Saint Lucia,18.65,1.65
Saint Vincent and the Grenadines,35.66,0
Samoa,0,4.2
San Marino,9.54,3.18
Sao Tome and Principe,14.51,
Saudi Arabia,0,1.04
Senegal,6.87,0.16
Serbia,1.66,1.09
Seychelles,20.47,1.08
Singapore,59.22,0.5
Slovakia,0.29,1.54
Slovenia,4.01,1.25
South Africa,5.88,0.67
Spain,,1.63
Sri Lanka,272.64,0.1
Sudan,10.77,1.35
Suriname,45.25,0.37
Tajikistan,20.72,4.68
Thailand,42.29,1.84
Togo,,0.6
Tonga,14.24,3.8
Trinidad and Tobago,7.83,
Tunisia,18.72,2.33
Turkey,10.03,1.55
Uganda,9.59,0.4
Uruguay,17.61,3.93
Vanuatu,118.69,2.37
Yemen,11.37,2.97
Zambia,1.18,0.45
Zimbabwe,0,0.52
